98.94 96.14 50.0 11.28 76.11 73.89 57.78 66.95 78.12 63.92 53.6 1075.2
98.6 96.83 53.33 9.94 76.67 82.78 51.11 65.05 73.71 71.88 55.4 803.65
99.3 95.44 50.0 8.73 80.56 70.56 56.67 72.94 72.92 62.37 47.48 1061.74
98.25 96.13 53.33 10.35 79.44 73.89 60.0 57.12 74.74 66.67 55.04 843.96
98.24 95.79 33.33 13.03 85.0 73.33 51.11 65.55 76.56 64.95 52.88 1037.26
98.6 96.48 53.33 10.38 78.33 73.33 61.11 51.42 75.77 66.15 56.47 912.49
97.54 97.54 40.0 12.07 77.78 72.22 50.0 61.15 74.48 64.43 50.0 1055.89
99.3 95.42 46.67 8.92 78.33 68.33 61.11 51.36 75.77 67.19 52.88 909.47
97.89 94.04 50.0 10.36 77.78 73.89 55.56 65.19 71.88 61.86 44.6 1073.12
98.25 96.13 53.33 9.32 78.89 71.67 54.44 54.04 75.77 64.06 52.52 1036.64
