95.77 95.09 50.0 0.26 67.78 67.22 48.89 1.38 66.67 65.46 48.56 76.73
97.19 94.72 46.67 0.27 70.0 79.44 50.0 1.37 67.01 64.06 46.04 33.5
96.83 94.74 53.33 0.39 75.56 68.89 40.0 2.13 68.23 63.92 44.24 56.79
97.54 95.07 43.33 0.51 73.89 73.89 42.22 3.58 69.07 63.54 50.36 66.12
95.77 97.19 40.0 0.25 76.11 76.11 44.44 2.85 69.79 60.31 53.24 47.85
97.54 95.07 33.33 0.74 74.44 73.89 60.0 3.25 66.49 64.06 50.36 33.19
96.48 96.84 36.67 0.49 65.56 73.89 53.33 1.36 66.15 60.82 46.4 47.68
98.6 95.77 43.33 0.64 72.78 72.78 35.56 3.62 68.04 67.19 58.27 47.3
96.13 94.74 43.33 0.39 68.33 72.78 54.44 2.69 66.15 62.37 50.36 67.2
96.84 96.13 56.67 0.5 73.89 75.0 50.0 1.35 72.16 64.58 57.55 39.65
