98.59 95.44 53.33 117.53 77.78 66.67 50.0 193.38 76.56 64.95 51.08 973.7
98.95 93.66 40.0 130.46 75.56 81.11 51.11 229.99 72.68 60.42 51.8 849.44
98.59 93.68 60.0 138.56 82.22 68.89 42.22 225.71 72.4 63.4 46.04 1096.86
98.6 96.13 56.67 125.87 81.11 73.89 43.33 209.65 74.23 61.46 50.36 872.29
97.89 96.84 43.33 159.41 82.22 74.44 47.78 269.8 75.52 59.28 54.68 937.9
98.6 96.13 56.67 138.8 77.78 75.56 43.33 260.64 75.26 61.46 48.2 834.29
96.83 93.68 46.67 116.65 76.67 73.33 54.44 189.66 74.48 60.31 47.84 1002.45
99.3 92.96 56.67 158.38 79.44 71.67 52.22 193.13 71.13 66.15 50.36 879.83
97.89 94.39 50.0 130.12 75.56 75.56 57.78 187.17 72.4 63.92 52.52 1088.45
98.6 97.89 60.0 108.95 79.44 74.44 43.33 225.09 76.29 62.5 47.48 888.86
