95.77 95.09 50.0 0.26
97.19 94.72 46.67 0.27
96.83 94.74 53.33 0.39
97.54 95.07 43.33 0.51
95.77 97.19 40.0 0.25
97.54 95.07 33.33 0.74
96.48 96.84 36.67 0.49
98.6 95.77 43.33 0.64
96.13 94.74 43.33 0.39
96.84 96.13 56.67 0.5
