98.59 93.33 70.0 17.55 78.33 70.56 85.56 75.49 85.42 69.59 93.53 193.89
98.6 95.77 73.33 19.33 80.0 80.56 88.89 72.45 81.44 70.83 95.32 118.54
98.59 93.68 66.67 19.32 81.67 73.89 87.78 68.65 84.38 69.07 92.45 196.05
98.25 94.72 83.33 18.07 80.56 70.56 82.22 75.61 86.08 69.79 94.24 131.0
98.59 91.93 70.0 17.51 84.44 76.11 82.22 77.61 80.73 66.49 93.88 133.76
98.25 96.48 73.33 17.17 77.78 73.33 83.33 78.66 85.57 71.35 95.68 165.34
97.18 97.54 70.0 15.73 78.33 70.56 82.22 75.14 82.29 72.16 91.37 190.58
99.3 94.72 70.0 16.98 80.0 66.67 85.56 77.34 85.05 77.6 94.6 140.69
98.59 92.28 70.0 17.13 78.89 73.89 85.56 70.15 86.98 77.84 94.96 143.29
98.25 96.83 80.0 17.94 81.67 73.33 84.44 67.95 82.99 71.88 93.88 152.08
