97.54 95.44 53.33 128.93 70.56 66.67 50.0 225.29 66.15 64.95 51.08 1058.46
96.84 94.37 40.0 128.68 70.56 82.78 46.67 229.64 65.46 62.5 48.92 891.37
97.18 93.68 60.0 130.96 75.0 68.89 42.22 238.31 65.62 63.4 46.04 1065.89
97.19 96.13 40.0 128.88 73.33 75.0 54.44 219.1 65.98 62.5 46.4 904.13
96.48 96.84 43.33 130.23 77.22 74.44 47.78 239.9 64.58 59.28 54.68 1067.36
96.84 96.13 46.67 134.18 72.22 76.11 48.89 242.76 68.56 64.06 47.84 915.87
95.42 93.68 46.67 115.59 71.11 73.33 54.44 230.0 66.67 60.31 47.84 1029.91
97.89 91.9 56.67 123.28 72.78 73.33 50.0 227.29 64.95 61.98 54.68 903.67
96.83 94.39 50.0 117.73 68.33 75.56 57.78 211.71 65.62 63.92 52.52 1042.13
97.54 95.77 56.67 124.14 74.44 75.0 50.0 227.49 67.53 63.02 52.52 896.55
