97.89 95.44 53.33 134.82 75.0 66.67 50.0 234.99 73.44 64.95 51.08 994.81
98.25 95.77 53.33 131.03 74.44 80.56 44.44 210.45 72.16 65.62 47.48 1024.17
98.24 93.68 60.0 117.73 78.89 68.89 42.22 240.83 73.96 63.4 46.04 1024.52
97.89 94.01 30.0 143.7 79.44 73.89 53.33 188.87 75.26 62.5 52.52 831.44
97.89 96.84 43.33 190.93 83.89 74.44 47.78 204.23 73.44 59.28 54.68 1164.88
97.89 94.01 40.0 99.82 75.56 76.11 38.89 224.16 72.16 62.5 51.8 976.58
97.18 93.68 46.67 112.98 75.0 73.33 54.44 213.97 73.44 60.31 47.84 964.65
99.65 92.25 60.0 123.46 75.56 73.33 45.56 204.52 71.65 65.1 52.16 940.34
98.24 94.39 50.0 135.74 74.44 75.56 57.78 184.04 71.88 63.92 52.52 1110.32
98.25 93.66 66.67 143.78 78.89 76.11 44.44 222.94 74.74 63.02 46.76 943.47
